article,version_number,version,name,image,id,combat,size,attributes,hitpoints,att,str,def,mage,range,attbns,strbns,amagic,mbns,arange,rngbns,dstab,dslash,dcrush,dmagic,drange 
Magic axe,1,Normal,Magic axe,[[File:Magic axe.png|200px]],2844,42,1,,44,38,38,29,1,1,0,0,0,0,0,0,10,5,15,5,10
Magic axe,2,Catacombs of Kourend,Magic axe,[[File:Magic axe.png|200px]],7269,42,1,,44,38,38,29,1,1,0,0,0,0,0,0,10,5,15,5,10
Kebbit,,,Kebbit,[[File:Kebbit.png|200px]],1494,13,1,,50,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ghost,1,Level 19,Ghost,[[File:Ghost.png|100px]],"85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,472,473,474,505,506,507,7263,7264",19,1,"undead, spectral",25,13,13,18,1,1,0,0,0,0,0,0,5,5,5,-5,5
Ghost,2,Level 29,Ghost,[[File:Ghost.png|100px]],3625,29,1,"undead, spectral",27,23,23,28,1,1,0,0,0,0,0,0,5,5,5,-5,5
Ghost,3,Level 76,Ghost,[[File:Ghost.png|100px]],"2531,2532,2533,2534",76,1,"undead, spectral",75,63,63,68,1,1,0,0,0,0,0,0,45,45,5,-5,45
Ghost,4,Level 77,Ghost,[[File:Ghost.png|100px]],"2527,2528,2529,2530",77,1,"undead, spectral",80,63,63,68,1,1,0,0,0,0,0,0,55,55,5,55,55
Dwarf,1,Level 7,Dwarf,[[File:Dwarf.png|120px]],1408,7,1,,10,6,6,6,1,1,5,7,0,0,0,0,0,0,0,5,10
Dwarf,2,Level 10,Dwarf,[[File:Dwarf.png|120px]],"290,296,1405",10,1,,16,8,8,6,1,1,5,7,0,0,0,0,0,0,0,5,0
Dwarf,3,Level 11,Dwarf,[[File:Dwarf.png|120px]],"294,295,1401,1402,1403,1404,1406,1407,8496",11,1,,18,8,8,8,1,1,5,7,0,0,0,0,0,0,0,5,10
Dwarf,4,Level 20,Dwarf,[[File:Dwarf.png|120px]],292,20,1,,26,15,16,16,1,1,11,9,0,0,0,0,0,0,0,5,0
Cave goblin (monster),1,Blue,Cave goblin,"[[File:Cave goblin (monster, blue).png|160px]]",6434,3,1,,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Cave goblin (monster),2,Beige,Cave goblin,"[[File:Cave goblin (monster, beige).png|160px]]",6435,3,1,,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Cave goblin (monster),3,Brown,Cave goblin,"[[File:Cave goblin (monster, brown).png|160px]]",6436,3,1,,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Cave goblin (monster),4,Backpack,Cave goblin,"[[File:Cave goblin (monster, backpack).png|160px]]",6437,3,1,,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ice troll,1,Level 120,Ice troll,[[File:Ice troll.png|220px]],"650,652,653,701,703,704",120,1,,100,100,100,120,1,1,60,60,0,0,0,0,30,60,30,0,0
Ice troll,2,Level 121,Ice troll,[[File:Ice troll.png|220px]],"651,654,702,705",121,1,,90,110,110,110,1,1,60,60,0,0,0,0,30,60,30,0,0
Ice troll,3,Level 123,Ice troll,[[File:Ice troll.png|220px]],"649,700",123,1,,80,120,120,100,1,1,60,60,0,0,0,0,30,60,30,0,0
Ice troll,4,Level 124,Ice troll,[[File:Ice troll.png|220px]],"648,699",124,1,,80,140,120,80,1,1,60,60,0,0,0,0,30,60,30,0,0
Sir Gawain,,,Sir Gawain,[[File:Sir Gawain.png|150px]],"4348,4356",122,1,,110,110,105,100,1,1,40,45,0,0,0,0,65,90,300,0,0
White Knight,1,Initiate,White Knight,[[File:White Knight.png|120px]],"1798,8149",36,1,,52,27,29,21,1,1,30,31,0,0,0,0,83,76,70,-11,74
White Knight,2,Proselyte,White Knight,[[File:White Knight Proselyte.png|120px]],1799,38,1,,52,30,29,25,1,1,30,31,0,0,0,0,83,76,70,-11,74
White Knight,3,Acolyte,White Knight,[[File:White Knight Acolyte.png|120px]],1800,39,1,,52,32,29,27,1,1,30,31,0,0,0,0,83,76,70,-11,74
White Knight,4,Partisan,White Knight,[[File:White Knight Partisan.png|120px]],1829,42,1,,55,32,35,27,1,1,30,31,0,0,0,0,83,76,70,-11,85
Penance Queen,,,Penance Queen,[[File:Penance Queen.png|290px]],5775,209,5,,250,260,92,132,1,116,0,0,0,0,0,0,0,0,0,0,0
Troll general,1,Sword,Troll general,[[File:Troll general (sword).png|180px]],4120,113,2,,140,70,140,40,0,0,60,100,0,0,0,0,35,60,35,200,200
Troll general,2,Hammer (grey),Troll general,"[[File:Troll general (hammer, grey).png|200px]]",4121,113,2,,140,70,140,40,0,0,60,100,0,0,0,0,35,60,35,200,200
Troll general,3,Hammer (brown),Troll general,"[[File:Troll general (hammer, brown).png|200px]]",4122,113,2,,140,70,140,40,0,0,60,100,0,0,0,0,35,60,35,200,200
King Scorpion,,,King Scorpion,[[File:King Scorpion.png|250px]],3027,32,2,,30,30,29,23,1,1,0,0,0,0,0,0,5,15,15,0,5
Mogre,,,Mogre,[[File:Mogre.png|150px]],2592,60,2,,48,58,55,48,1,1,22,20,0,0,0,0,0,0,0,0,0
Angry unicorn,1,Level 45,Angry unicorn,[[File:Angry unicorn.png|250px]],1061,45,2,,50,,,,,,,,,,,,,,,,
Angry unicorn,2,Level 47,Angry unicorn,[[File:Angry unicorn.png|250px]],4688,47,2,,50,38,41,38,1,1,0,0,0,0,0,0,0,0,0,0,0
Sigmund,,,Sigmund,[[File:Sigmund (monster).png|150px]],"990,991,992,993,994,4328",50,1,,60,45,45,24,1,1,0,0,8,0,0,0,0,0,0,0,0
Sigmund,,,Sigmund,[[File:Sigmund (monster).png|150px]],"5139,5142,5143,5144,5145,5146,5223,5329",64,1,,70,55,55,44,1,1,0,0,8,0,0,0,0,0,0,0,0
Temple guardian,,,Temple Guardian,[[File:Temple guardian.png|200px]],7620,30,2,,45,20,20,20,1,1,0,0,0,0,0,0,0,0,0,0,0
Zamorak wizard,,,Zamorak wizard,[[File:Zamorak wizard.png|130px]],2954,65,1,,76,24,24,24,80,1,0,0,0,0,0,0,0,0,0,3,0
Zygomite,,,Zygomite,[[File:Zygomite (level 74).png|200px]],537,74,1,,65,65,65,65,65,65,30,0,0,0,0,0,10,10,10,20,20
Zygomite,,,Zygomite,[[File:Zygomite (level 86).png|200px]],1024,86,2,,75,75,75,75,75,75,30,0,0,0,0,0,10,10,10,20,20
Tolna,,,Tolna,[[File:Tolna (monster).png|300x300px]],1075,46,3,,37,42,41,40,1,1,0,0,0,0,0,0,0,0,0,50,50
Tolna,,,Tolna,[[File:Tolna (monster).png|300x300px]],1076,46,3,,37,42,41,40,1,1,0,0,0,0,0,0,0,0,0,50,50
Tolna,,,Tolna,[[File:Tolna (monster).png|300x300px]],1077,46,3,,37,42,41,40,1,1,0,0,0,0,0,0,0,0,0,50,50
Suqah,,,Suqah,[[File:Suqah.png|250px]],"787,788,789,790,791,792,793",111,2,,105,95,95,95,1,1,0,0,0,0,0,0,50,70,70,90,50
Salarin the twisted,,,Salarin the twisted,[[File:Salarin the twisted.png|100px]],304,70,1,,70,58,58,62,1,1,0,0,0,0,0,0,0,0,0,0,0
Tz-Kek,1,Level 45,Tz-Kek,[[File:Tz-Kek (level 45).png|250px]],"2191,2192,3118,3119",45,2,,20,40,60,30,30,60,0,0,0,0,0,0,0,0,0,0,0
Tz-Kek,2,Level 22,Tz-Kek,[[File:Tz-Kek (level 22).png|250px]],3120,22,1,,10,20,30,15,15,30,0,0,0,0,0,0,0,0,0,0,0
Tok-Xil,1,Standard,Tok-Xil,[[File:Tok-Xil (1).png|250px]],"2193,3121",90,3,,40,80,120,60,60,120,0,0,0,0,0,0,0,0,0,0,0
Tok-Xil,2,Spawn point,Tok-Xil,[[File:Tok-Xil (2).png|250px]],"2194,3122",90,3,,40,80,120,60,60,120,0,0,0,0,0,0,0,0,0,0,0
Ket-Zek,1,Standard,Ket-Zek,[[File:Ket-Zek (1).png|270px]],3125,360,5,,160,320,480,240,240,480,0,0,60,0,0,0,0,0,0,0,0
Ket-Zek,2,Spawn point,Ket-Zek,[[File:Ket-Zek (2).png|270px]],3126,360,5,,160,320,480,240,240,480,0,0,60,0,0,0,0,0,0,0,0
Unicorn,,,Unicorn,[[File:Unicorn.png|250px]],2837,15,2,,19,11,13,13,1,1,0,0,0,0,0,0,0,0,0,0,0
Karamel,1,Normal,Karamel,[[File:Karamel.png|120px]],"4882,6371",136,1,,250,1,1,100,1,100,0,0,0,0,134,55,150,150,150,150,150
Karamel,2,Hard,Karamel (hard),[[File:Karamel.png|120px]],6310,186,1,,255,1,1,100,1,200,0,0,0,0,268,110,150,150,150,150,150
Kamil,1,Normal,Kamil,[[File:Kamil.png|140px]],"3458,6345",154,1,,130,190,80,135,1,1,60,100,0,0,0,0,35,60,35,0,0
Kamil,2,Hard,Kamil (hard),[[File:Kamil.png|140px]],1129,273,1,,255,380,160,135,1,1,60,100,0,0,0,0,35,60,35,0,0
Kruk,,,Kruk,[[File:Kruk.png|180px]],6805,207,1,,210,130,130,150,130,170,160,90,0,0,150,70,100,100,100,250,100
Melzar the Mad,,,Melzar the Mad,[[File:Melzar the Mad.png|150px]],823,43,1,,44,37,37,34,40,1,0,0,0,0,0,0,0,0,0,0,0
River troll,1,Level 14,River Troll,[[File:River troll.png|200px]],6732,14,1,,25,9,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0
River troll,2,Level 29,River Troll,[[File:River troll.png|200px]],6733,29,1,,40,22,22,22,1,1,0,0,0,0,0,0,0,0,0,0,0
River troll,3,Level 49,River Troll,[[File:River troll.png|200px]],6734,49,1,,60,38,38,38,1,1,0,0,0,0,0,0,0,0,0,0,0
River troll,4,Level 79,River Troll,[[File:River troll.png|200px]],6735,79,1,,85,65,65,65,1,1,0,0,0,0,0,0,0,0,0,0,0
River troll,5,Level 120,River Troll,[[File:River troll.png|200px]],6736,120,1,,120,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0
River troll,6,Level 159,River Troll,[[File:River troll.png|200px]],6737,159,1,,170,130,130,130,1,1,0,0,0,0,0,0,0,0,0,0,0
Agrith-Na-Na,1,Normal,Agrith-Na-Na,[[File:Agrith-Na-Na.png|150px]],4880,146,3,,200,83,150,82,100,100,100,0,0,0,0,0,100,100,100,100,100
Agrith-Na-Na,2,Nightmare Zone,Agrith-Na-Na,[[File:Agrith-Na-Na.png|150px]],6369,146,3,,200,83,150,82,100,100,100,0,0,0,0,0,100,100,100,100,100
Agrith-Na-Na,3,Hard,Agrith-Na-Na (hard),[[File:Agrith-Na-Na.png|150px]],6308,235,3,,255,166,300,82,200,200,100,0,0,0,0,0,100,100,100,100,100
Vyrewatch,1,Level 87,Vyrewatch,[[File:Vyrewatch.png|250px]],"8251,8252,8253,8254,8255,8256,8257,8258,8259",87,1,vampyre3,75,80,75,75,75,1,0,0,0,0,0,0,0,0,0,0,0
Vyrewatch,2,Level 105,Vyrewatch,[[File:Vyrewatch.png|250px]],"3709,3713,3717,3721,3725,3729,3748,3752,3756,3760,8300,8301,8302,8303,8304,8305,8306,8307,9740,9738,9736,9737,9742,9739,9741,9735",105,1,vampyre3,90,105,86,85,105,105,0,0,0,0,0,0,0,0,0,0,0
Vyrewatch,3,Level 110,Vyrewatch,[[File:Vyrewatch.png|250px]],"3710,3714,3718,3722,3726,3730,3749,3753,3757,3761",110,1,vampyre3,90,110,96,85,110,110,0,0,0,0,0,0,0,0,0,0,0
Vyrewatch,4,Level 120,Vyrewatch,[[File:Vyrewatch.png|250px]],"3711,3715,3719,3723,3727,3731,3750,3754,3758,3762",120,1,vampyre3,105,120,106,85,120,120,0,0,0,0,0,0,0,0,0,0,0
Vyrewatch,5,Level 125,Vyrewatch,[[File:Vyrewatch.png|250px]],"3712,3716,3720,3724,3728,3732,3751,3755,3759,3763",125,1,vampyre3,110,120,116,85,120,120,0,0,0,0,0,0,0,0,0,0,0
General Khazard,,,General Khazard,[[File:General Khazard.png|200px]],1213,112,1,,170,75,78,80,1,1,0,0,0,0,0,0,0,0,0,0,0
Goat,1,Tan,Goat,[[File:Goat (tan).png|200px]],"1795,1796",23,1,,21,20,20,20,1,1,10,29,0,0,0,0,10,10,0,0,10
Goat,2,Brown,Goat,[[File:Goat (brown).png|200px]],"1792,1793",23,1,,21,20,20,20,1,1,10,29,0,0,0,0,10,10,0,0,10
Billy Goat,1,Brown,Billy Goat,[[File:Billy Goat (brown).png|200px]],1794,33,1,,28,31,29,29,1,1,30,29,0,0,0,0,10,10,0,0,10
Billy Goat,2,Tan,Billy Goat,[[File:Billy Goat (tan).png|200px]],1797,33,1,,28,31,29,29,1,1,30,29,0,0,0,0,10,10,0,0,10
Duckling,,,Duckling,[[File:Duckling.png|200px]],2001,1,1,,3,1,1,1,1,1,-47,-42,0,0,0,0,-42,-42,-42,-42,-42
Abyssal leech,,,Abyssal leech,[[File:Abyssal leech.png|250px]],2584,41,1,,10,95,5,25,1,1,100,10,0,0,0,0,50,50,100,50,10
Dagannoth Supreme,1,Normal,Dagannoth Supreme,[[File:Dagannoth Supreme.png|230px]],2265,303,3,,255,255,255,128,255,255,0,0,0,0,0,0,10,10,10,255,550
Dagannoth Supreme,2,PvM Arena,Dagannoth Supreme,[[File:Dagannoth Supreme.png|230px]],6496,303,3,,255,255,255,128,255,255,0,0,0,0,0,0,10,10,10,255,550
Dagannoth Prime,1,Normal,Dagannoth Prime,[[File:Dagannoth Prime.png|200px]],2266,303,3,,255,255,255,255,255,0,0,0,0,0,0,0,255,255,255,255,10
Dagannoth Prime,2,PvM Arena,Dagannoth Prime,[[File:Dagannoth Prime.png|200px]],6497,303,3,,255,255,255,255,255,0,0,0,0,0,0,0,255,255,255,255,10
Queen spawn,,,Queen Spawn,[[File:Queen spawn.png|Queen spawn.png|150px]],5776,63,1,,45,60,62,50,1,1,0,0,0,0,0,0,0,0,0,0,0
Monkey (monster),1,Common,Monkey,[[File:Monkey.png|140px]],2848,3,1,,6,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Monkey (monster),2,Mos Le'Harmless,Monkey,[[File:Monkey (Mos Le'Harmless).png|140px]],1038,3,1,,6,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Unicow,,,Unicow,[[File:Unicow.png|275px]],3601,25,2,,24,18,26,22,1,1,+0,+0,+0,0,+0,0,+0,+0,+0,+0,+0
Disciple of Iban,,,Disciple of Iban,[[File:Disciple of Iban.png|150px]],8997,13,1,,20,8,8,12,1,1,0,0,0,0,0,0,0,0,0,0,0
H.A.M. Archer,,,H.A.M. Archer,[[File:H.A.M. Archer.png|110px]],5157,30,1,,35,0,0,30,0,30,0,0,0,0,0,0,5,5,0,0,5
Albino bat,,,Albino bat,[[File:Albino bat.png]],1039,52,2,,33,57,57,30,1,1,0,0,0,0,0,0,0,0,0,0,0
Giant Champion,,,Giant Champion,[[File:Giant Champion.png|200px]],3329,56,2,,70,36,44,52,1,1,0,0,0,0,0,0,0,0,0,0,0
Robert the Strong,,,Robert the Strong,[[File:Robert the Strong.png|120px]],8057,224,1,,280,0,0,140,128,328,0,0,0,0,126,0,140,180,60,940,860
H.A.M. Guard,1,Level 12,H.A.M. Guard,[[File:H.A.M. Guard (level 12).png|100px]],2536,12,1,,15,8,12,8,1,1,0,0,0,0,0,0,5,5,0,0,5
H.A.M. Guard,2,Level 18,H.A.M. Guard,[[File:H.A.M. Guard (level 18).png|100px]],2537,18,1,,20,14,18,12,1,1,0,0,0,0,0,0,6,6,0,0,6
H.A.M. Guard,3,Level 22,H.A.M. Guard,[[File:H.A.M. Guard (level 22).png|100px]],2538,22,1,,30,16,20,12,1,1,0,0,0,0,0,0,7,7,0,0,7
Arianwyn,,,Arianwyn,[[File:Arianwyn (Song of the Elves).png|120px]],"8865,9248",212,,,300,0,0,102,102,368,0,0,0,0,84,0,80,80,80,260,180
Arianwyn,,,Arianwyn (hard),[[File:Arianwyn (Song of the Elves).png|120px]],9246,378,1,,300,0,0,102,102,552,0,0,0,0,126,0,80,80,80,260,180
Molanisk,,,Molanisk,[[File:Molanisk.png|200px]],1,51,1,,52,40,40,50,0,1,0,0,0,0,0,0,45,45,35,30,55
Cave goblin miner,1,1,Cave goblin miner,[[File:Cave goblin miner.png|160px]],5330,11,1,,10,10,12,7,1,1,0,0,0,0,0,0,0,0,0,0,0
Cave goblin miner,2,2,Cave goblin miner,[[File:Cave goblin miner (2).png|160px]],5331,11,1,,10,10,12,7,1,1,0,0,0,0,0,0,0,0,0,0,0
Cave goblin miner,3,3,Cave goblin miner,[[File:Cave goblin miner (3).png|160px]],5332,11,1,,10,10,12,7,1,1,0,0,0,0,0,0,0,0,0,0,0
Cave goblin miner,4,4,Cave goblin miner,[[File:Cave goblin miner (4).png|160px]],5333,11,1,,10,10,12,7,1,1,0,0,0,0,0,0,0,0,0,0,0
Cave goblin miner,5,5,Cave goblin miner,[[File:Cave goblin miner (5).png|160px]],5336,11,1,,10,10,12,7,1,1,0,0,0,0,0,0,0,0,0,0,0
Cave goblin miner,6,6,Cave goblin miner,[[File:Cave goblin miner (6).png|160px]],5337,11,1,,10,10,12,7,1,1,0,0,0,0,0,0,0,0,0,0,0
Cave goblin miner,7,7,Cave goblin miner,[[File:Cave goblin miner (7).png|160px]],5338,11,1,,10,10,12,7,1,1,0,0,0,0,0,0,0,0,0,0,0
Cave goblin miner,8,8,Cave goblin miner,[[File:Cave goblin miner (8).png|160px]],5339,11,1,,10,10,12,7,1,1,0,0,0,0,0,0,0,0,0,0,0
Cave goblin guard,1,Level 24,Cave goblin guard,[[File:Cave goblin guard (level 24).png|140px]],5335,24,1,,26,22,16,22,1,1,0,0,-4,0,0,0,0,15,19,-3,12
Cave goblin guard,2,Level 26,Cave goblin guard,[[File:Cave goblin guard (level 26).png|140px]],5334,26,1,,26,25,18,25,1,1,0,0,0,0,0,0,1,16,19,-3,12
Tanglefoot,1,Normal,Tanglefoot,[[File:Tanglefoot.png|170px]],"5848,6353",111,1,,102,97,97,91,1,1,0,0,0,0,0,0,0,0,0,0,0
Tanglefoot,2,Hard,Tanglefoot (hard),[[File:Tanglefoot.png|170px]],6291,199,1,,204,194,194,91,1,1,0,0,0,0,0,0,0,0,0,0,0
Ghast,,,Ghast,[[File:Ghast (Level 30).png|x100px]],946,30,2,spectral,45,22,22,18,1,1,0,0,0,0,0,0,0,0,0,0,0
Ghast,,,Ghast,[[File:Ghast (Level 79).png|x100px]],5625,79,2,spectral,115,80,30,60,30,30,0,0,0,0,0,0,0,0,0,0,0
Ghast,,,Ghast,[[File:Ghast (Level 109).png|x100px]],5626,109,2,spectral,135,110,70,70,30,30,0,0,0,0,0,0,0,0,0,0,0
Ghast,,,Ghast,[[File:Ghast (Level 139).png|x100px]],5627,139,2,spectral,160,135,110,80,30,30,0,0,0,0,0,0,0,0,0,0,0
Stranger,,,Stranger,[[File:Stranger.png|120px]],685,95,1,,80,90,80,80,1,1,0,40,1,0,0,0,81,93,98,1,82
White wolf,1,Level 25,White wolf,[[File:White wolf.png|250px]],107,25,2,,34,20,16,22,1,1,0,0,0,0,0,0,0,0,0,0,0
White wolf,2,Level 38,White wolf,[[File:White wolf.png|250px]],108,38,2,,44,30,31,32,1,1,0,0,0,0,0,0,0,0,0,0,0
Jackal,,,Jackal,[[File:Jackal.png|200px]],4185,21,1,,27,17,18,15,1,1,0,0,0,0,0,0,0,0,0,0,0
Seagull,1,Level 2,Seagull,[[File:Seagull.png|250px]],1338,2,1,,6,1,1,1,1,1,-47,-42,0,0,0,0,-42,-42,-42,-42,-42
Seagull,2,Level 3,Seagull,[[File:Seagull (level 3).png|250px]],"1339,9609",3,1,,10,1,1,1,1,1,-47,-42,0,0,0,0,-42,-42,-42,-42,-42
Vulture,1,Landed,Vulture,[[File:Vulture.png|300px]],1267,31,2,,10,40,40,10,1,1,0,0,0,0,0,0,0,0,0,0,0
Vulture,2,Flying,Vulture,[[File:Vulture (flying).png|250x250px]],1268,31,2,,10,40,40,10,1,1,0,0,0,0,0,0,0,0,0,0,0
Guard (Burthorpe),1,Black beard,Guard,[[File:Guard (Burthorpe).png|200px]],4099,37,1,,40,30,30,30,1,0,18,16,0,0,0,0,36,48,50,-4,38
Guard (Burthorpe),2,Grey beard,Guard,"[[File:Guard (Burthorpe, grey).png|200px]]",4100,37,1,,40,30,30,30,1,0,18,16,0,0,0,0,36,48,50,-4,38
Monk of Zamorak,1,Level 17,Monk of Zamorak,[[File:Monk of Zamorak (level 17).png|130px]],"528,3485,8401",17,1,,10,8,8,12,25,1,0,0,0,0,0,0,0,0,0,0,0
Monk of Zamorak,2,Level 22,Monk of Zamorak,[[File:Monk of Zamorak (level 22).png|130px]],"527,3484,8400",22,1,,20,18,18,22,25,1,0,0,0,0,0,0,0,0,0,0,0
Monk of Zamorak,3,Level 23,Monk of Zamorak,[[File:Monk of Zamorak (level 23).png|130px]],8698,23,1,,16,15,13,18,30,1,0,0,0,0,0,0,0,0,0,0,0
Monk of Zamorak,4,Level 30,Monk of Zamorak,[[File:Monk of Zamorak (level 30 and 45).png|130px]],3486,30,1,,25,25,25,25,40,1,0,0,0,0,0,0,0,0,0,0,0
Monk of Zamorak,5,Level 45,Monk of Zamorak,[[File:Monk of Zamorak (level 30 and 45).png|130px]],529,45,1,,40,38,38,42,40,1,0,0,0,0,0,0,0,0,0,0,0
Lesser Demon Champion,,,Lesser Demon Champion,[[File:Lesser Demon Champion.png|170px]],3357,162,2,demon,148,136,140,142,136,1,0,0,0,0,0,0,0,0,0,0,0
Angry goblin,1,Level 45,Angry goblin,[[File:Angry goblin.png|250px]],1065,45,1,,50,,,,,,,,,,,,,,,,
Angry goblin,2,Level 47,Angry goblin,[[File:Angry goblin.png|250px]],4691,47,1,,50,38,41,38,1,1,0,0,0,0,0,0,0,0,0,0,0
TzHaar-Mej (monster),,,TzHaar-Mej,[[File:TzHaar-Mej.png|150px]],"2154,2155,2156,2157,2158,2159,2160",103,1,,100,80,80,80,120,1,0,0,0,0,0,0,0,0,0,0,0
TzHaar-Hur,,,TzHaar-Hur,[[File:TzHaar-Hur.png|150px]],"2161,2162,2163,2164,2165,2166,7682,7683,7684,7685,7686,7687",74,1,,80,60,60,60,80,1,0,0,0,0,0,0,0,0,0,0,0
Mudskipper,1,Level 30,Mudskipper,[[File:Mudskipper.png|280px]],4820,30,1,,20,29,29,26,1,1,0,0,0,0,0,0,0,0,0,0,0
Mudskipper,2,Level 31,Mudskipper,[[File:Mudskipper.png|280px]],4821,31,2,,20,30,30,29,1,1,0,0,0,0,0,0,0,0,0,0,0
Bandit,1,Level 22,Bandit,[[File:Bandit.png|160px]],1026,22,1,,27,17,17,17,1,1,11,12,0,0,0,0,0,3,2,0,0
Bandit,2,Level 130,Bandit,[[File:Bandit.png|160px]],6605,130,1,,155,57,57,57,1,1,57,52,0,0,0,0,0,23,22,0,0
Bandit (Pollnivneach),1,Bearded,Bandit,"[[File:Bandit (Pollnivneach, bearded).png|150px]]","736,737",41,1,,30,40,50,20,1,1,9,9,0,0,0,0,0,9,8,10,0
Bandit (Pollnivneach),2,No beard,Bandit,"[[File:Bandit (Pollnivneach, no beard).png|150px]]","734,735",56,1,,30,59,70,30,1,1,9,9,0,0,0,0,0,9,8,10,0
Bandit (Bandit Camp),1,Level 57,Bandit,[[File:Bandit (Bandit Camp).png|120px]],695,57,1,,50,50,50,50,1,1,0,0,0,0,0,0,0,0,0,0,0
Bandit (Bandit Camp),2,Level 74,Bandit,[[File:Bandit (Bandit Camp).png|120px]],690,74,1,,65,65,65,65,1,1,0,0,0,0,0,0,0,0,0,0,0
Outlaw,,,Outlaw,[[File:Outlaw.png|150px]],"4167,4168,4169,4170,4171,4172,4173,4174,4175,4176",32,1,,20,35,30,25,1,1,0,-21,0,0,0,0,0,0,0,0,0
Donny the lad,,,Donny the Lad,[[File:Donny the lad.png|150px]],302,34,1,,37,32,26,27,1,1,9,9,0,0,0,0,9,8,10,0,0
Hopeless creature,1,Level 40,Hopeless creature,[[File:Hopeless creature.png|270px]],"1072,1073,1074",40,2,,25,38,36,39,1,1,0,0,0,0,0,0,0,0,0,0,0
Hopeless creature,2,Level 71,Hopeless creature,[[File:Hopeless creature.png|270px]],4695,71,2,,71,59,62,59,1,1,0,0,0,0,0,0,0,0,0,0,0
Gunthor the brave,,,Gunthor the brave,[[File:Gunthor the brave.png|120px]],299,29,1,,35,22,22,25,1,1,8,13,0,0,0,0,12,14,10,-1,11
Zombie (Sepulchre of Death),,,Zombie,[[File:Zombie (Sepulchre of Death).png|150px]],6741,159,1,undead,170,130,130,130,1,1,0,0,0,0,0,0,0,0,0,0,0
Skeleton Champion,,,Skeleton Champion,[[File:Skeleton Champion.png|150px]],3358,40,1,undead,58,1,1,34,1,36,0,0,0,0,0,0,0,0,0,0,0
Air elemental,,,Air elemental,[[File:Air elemental.png|250px]],1369,34,1,,30,40,20,30,40,20,0,0,0,0,0,0,0,0,0,0,0
Speedy Keith,,,Speedy Keith,[[File:Speedy Keith.png|130px]],303,34,1,,37,32,26,27,1,1,9,9,0,0,0,0,9,8,10,0,0
Black Heather,,,Black Heather,[[File:Black Heather.png|120px]],301,34,1,,37,32,26,27,1,1,9,9,0,0,0,0,9,8,10,0,0
Dessous,1,Normal,Dessous,[[File:Dessous.png|140px]],"3459,3460,6344",139,1,vampyre1,200,99,99,99,1,1,50,50,0,0,0,0,10,150,150,0,0
Dessous,2,Hard,Dessous (hard),[[File:Dessous.png|140px]],1128,217,1,vampyre1,255,198,198,99,1,1,50,50,0,0,0,0,10,150,150,0,0
Saradomin wizard,,,Saradomin wizard,[[File:Saradomin wizard.png|150px]],2955,108,1,,120,100,80,80,80,1,40,40,0,0,0,0,0,0,0,30,0
Hill Giant,1,1,Hill Giant,[[File:Hill Giant.png|150px]],2098,28,2,,35,18,22,26,1,1,18,16,0,0,0,0,0,0,0,0,0
Hill Giant,2,2,Hill Giant,[[File:Hill Giant (2).png|150px]],2099,28,2,,35,18,22,26,1,1,18,16,0,0,0,0,0,0,0,0,0
Hill Giant,3,3,Hill Giant,[[File:Hill Giant (3).png|150px]],2100,28,2,,35,18,22,26,1,1,18,16,0,0,0,0,0,0,0,0,0
Hill Giant,4,4,Hill Giant,[[File:Hill Giant (4).png|150px]],2101,28,2,,35,18,22,26,1,1,18,16,0,0,0,0,0,0,0,0,0
Hill Giant,5,5,Hill Giant,[[File:Hill Giant (5).png|150px]],2102,28,2,,35,18,22,26,1,1,18,16,0,0,0,0,0,0,0,0,0
Hill Giant,6,6,Hill Giant,[[File:Hill Giant (6).png|150px]],2103,28,2,,35,18,22,26,1,1,18,16,0,0,0,0,0,0,0,0,0
Brutal green dragon,,,Brutal green dragon,[[File:Brutal green dragon.png|290px]],2918,227,4,"dragon,fiery",175,268,168,168,168,0,0,0,0,0,0,0,50,70,70,60,50
Slagilith,1,Normal,Slagilith,[[File:Slagilith.png|180px]],"1362,1364,6385",92,2,,60,60,120,75,1,1,10,0,0,0,0,0,50,50,5,5,50
Slagilith,2,Hard,Slagilith (hard),[[File:Slagilith.png|180px]],6324,202,2,,150,150,300,75,1,1,10,0,0,0,0,0,50,50,5,5,50
Thief,1,Standard,Thief,"[[File: Thief (Standard, 2).png|90px]]",3252,16,1,,17,14,13,12,1,1,0,0,0,0,0,0,0,0,0,0,0
Thief,2,Port Sarim,Thief,"[[File: Thief (Standard, 3).png|90px]]",3253,16,1,,17,14,13,12,0,2,0,0,0,0,0,0,0,0,0,0,0
Thief,3,Port Sarim Jail,Thief,"[[File: Thief (Standard, 1).png|90px]]",1448,16,1,,17,14,13,12,1,1,0,0,0,0,0,0,0,0,0,0,0
